株式会社,5145,5145,5611,株式会社,名詞,普通名詞,法人,法人種別,*,*,カブシキガイシャ,株式会社,*,C,*,*,*,*
カブシキガイシャ,5145,5145,5611,カブシキガイシャ,名詞,普通名詞,法人,法人種別,*,*,カブシキガイシャ,株式会社,*,C,*,*,*,*
\u0028株\u0029,5969,5969,2530,\u0028株\u0029,名詞,普通名詞,法人,法人種別,*,*,カブシキガイシャ,株式会社,*,C,*,*,*,*
\u0028株,5969,5969,2530,\u0028株,名詞,普通名詞,法人,法人種別,*,*,カブシキガイシャ,株式会社,*,C,*,*,*,*
株\u0029,5969,5969,2530,\株\u0029,名詞,普通名詞,法人,法人種別,*,*,カブシキガイシャ,株式会社,*,C,*,*,*,*
\u0028カ\u0029,5969,5969,2530,\u0028カ\u0029,名詞,普通名詞,法人,法人種別,*,*,カブシキガイシャ,株式会社,*,C,*,*,*,*
\u0028カ,5969,5969,2530,\u0028カ,名詞,普通名詞,法人,法人種別,*,*,カブシキガイシャ,株式会社,*,C,*,*,*,*
カ\u0029,5969,5969,2530,カ\u0029,名詞,普通名詞,法人,法人種別,*,*,カブシキガイシャ,株式会社,*,C,*,*,*,*

有限会社,5145,5145,5611,有限会社,名詞,普通名詞,法人,法人種別,*,*,ユウゲンガイシャ,有限会社,*,C,*,*,*,*
ユウゲンガイシャ,5145,5145,5611,ユウゲンガイシャ,名詞,普通名詞,法人,法人種別,*,*,ユウゲンガイシャ,有限会社,*,C,*,*,*,*
\u0028有\u0029,5969,5969,2530,\u0028有\u0029,名詞,普通名詞,法人,法人種別,*,*,ユウゲンガイシャ,有限会社,*,C,*,*,*,*
\u0028有,5969,5969,2530,\u0028有,名詞,普通名詞,法人,法人種別,*,*,ユウゲンガイシャ,有限会社,*,C,*,*,*,*
有\u0029,5969,5969,2530,\u0028有\u0029,名詞,普通名詞,法人,法人種別,*,*,ユウゲンガイシャ,有限会社,*,C,*,*,*,*
\u0028ユ\u0029,5969,5969,2530,\u0028ユ\u0029,名詞,普通名詞,法人,法人種別,*,*,ユウゲンガイシャ,有限会社,*,C,*,*,*,*
\u0028ユ,5969,5969,2530,\u0028ユ,名詞,普通名詞,法人,法人種別,*,*,ユウゲンガイシャ,有限会社,*,C,*,*,*,*
ユ\u0029,5969,5969,2530,\u0028ユ\u0029,名詞,普通名詞,法人,法人種別,*,*,ユウゲンガイシャ,有限会社,*,C,*,*,*,*

合名会社,5145,5145,5611,合名会社,名詞,普通名詞,法人,法人種別,*,*,ゴウメイガイシャ,合名会社,*,C,*,*,*,*
ゴウメイガイシャ,5145,5145,5611,ゴウメイガイシャ,名詞,普通名詞,法人,法人種別,*,*,ゴウメイガイシャ,合名会社,*,C,*,*,*,*
